abhor	 …'を'ひどくきらう,嫌悪する 
mower	 (また『mowing machine』)(人が乗って動かす)草(穀物)刈り機 / (また『law mower』)芝刈り機 / 草(穀物)を刈る人 
mucky	 汚ない(dirty) / (天気が)ひどい
mufti	 (通常は軍服など制服を着ている人たちの)平服,服 
mulch	 根覆い(植物の根を保護するためのわら・枯れ葉・土の混合物) / …‘に'根覆いをかける
mulct	 罰金(penalty) / …‘に'罰金を科する / 〈人〉‘を'だまして(…を)奪う《+『名』〈人〉+『of』+『名』》 
munch	 …‘を'むしゃむしゃ食べる(かむ) / (…を)むしゃむしゃ食べる(かむ)《+『at』(『on』)+『名』》
mural	 壁の;壁に掛かった(描いた) / 壁画,天井画
murex	 ホネガイ(熱帯地方の海産巻き貝の総称;古代人はこれから紫色染料を採った) 
murky	 暗い;陰気な;曇った,霧(もや)がかかった 
mushy	 かゆのような;どろどろした / 《話》めめしい,感傷的な
music	 『音楽』 / 音楽作ぽ,楽曲 / 楽譜(musical score) / 美しい調べ,快い音
musky	 じゃ香のような;じゃ香の香りのする 
musty	 かび臭い,かびの生えた / (思想などが)陳腐な,古くさい(out-of-date)
nacre	 =mother-of-pearl 
nadir	 〈U〉《the~》天底(天体の1点から鉛直に下ろした地上の点) / 〈C〉《単数形で》最下点;どん底
naive	 (若き・経験不足から)〈人・言葉などが〉無邪気な,天真らんまんな,世間知らずな / 人を信じやすい,だまされやすい　日本語で「繊細な」という意味で「ナイーブ」使われることがありますが、英語では「ナイーブ」にそのようなニュアンスは含まれません。
naked	 (体の全部,または一部が)『裸の』 / 『はぎ取られた』,むき出しにされた / (目が)肉眼の,裸眼の / 《名詞の前にのみ用いて》(事が)赤裸裸の,あからさまの
nares	 鼻孔(びこう),単数形は「nare」 
narky	 ふきげんな 
nasty	 『意地悪な』,卑劣な / 『不快な』,いやな(unpleasant) / みだらな,下品な / 厄介な,ひどい
nates	 《複数形》しり,臀部(でんぶ) 
navel	 へそ / 中心(center)
neath	 《詞》=beneath 
negus	 ニーガス酒(ワイン・湯・砂糖・香料などを混ぜて作った飲料) 
neigh	 馬のいななき / 〈馬が〉いななく,ヒヒーンと鳴く
nervy	 《米話》ずうずうしい,厚かましい(bold) / 《英話》神経質な;神経衰弱の
nevus	 母斑(ぼはん)(先天性のあざ・ほくろ・そばかすなど) 
newly	 『最近』,近ごろ / 『新たに』,再び
newsy	 ニュース(話題)の多い / おしゃべりな
nexus	 連鎖;関係 / (文法で)主語述語関係
niche	 壁がん(像・花びんなどを置く壁のくぼみ) / (…に)ふさわしい場所(地位,仕事),適所《+『for』+『名』》
nifty	 しゃれた,いきな;うまくできた 
night	 〈C〉〈U〉『夜』,晩,夜間 / 〈U〉(夜の)暗やみ,夜蔭 / 〈U〉《文》(精神的に)まっ暗な状態(時),やみ / 〈C〉(特定の行事・目的に当てられる)晩,夜 / 『夜の』,夜間[用]の;夜勤の;夜行[性]の 
nitre	 =niter 
noble	 高貴の;貴族の / 高潔な,気高い / (姿・規模などが)壮大な,堂々とした;すばらしい / (金属が)腐食しない / 《複数形で》(特に中世の)貴族 
nobly	 身分高く,貴族にふさわしく / 気高く,壮大な,雄々しく
nodal	 節(こぶ)の[ような] 
noise	 〈C〉〈U〉(特に,大きなまたは不快な)『音』,物音 / 〈C〉〈U〉(街・往来などの)『ざわめき』,騒音,騒々しい声 / 〈C〉(一般に)物音 / 〈U〉(ラジオ・テレビなどの)ノイズ,雑音 / …‘を'広める,言い触らす《+『名』+『about』(『abroad, around』)》 / 音を立てる;大声で話す《+『about』(『around, abroad』)》
noisy	 (人・声などが)『やかましい』,騒々しい,(場所が)騒音に満ちている 
nomad	 《しばしば複数形で》遊牧民 / 放浪者
north	 《the~》『北』;北方 / 《the~,the N-》北部[地方],北方[地域] / 《the N-》米国の北部諸州(特にOhio川以北のMaryland州・Missouri州を含む諸州;南北戦争で南部同盟諸州と戦った) / 『北の』,北部の,北向きの;北からの / 『北に』,北方へ 
nosey	 =nosy 
notch	 (V字形の)刻み目 / 《米》山あい / 《話》段階(STEP),等級(degree) / …‘に'刻み目をつける / 《話》〈競技の得殿など〉'を'記録する,〈勝利〉'を'収める 
noted	 『有名な』,著名な 
novel	 『新奇な』,ざん新な 
nudge	 (注意などを引くために,特にひじで)…‘を'軽くつつく / (特にひじで)軽くつつく / (特にひじで)軽くつつくこと 
nurse	 『看護人』,看護婦 / 子守(dry nurse) / 『乳母』(うば)(wet nurse) / ‘を'『看護する』,看病する / 〈幼児〉‘に'授乳する / 〈病気・けが〉‘を'治そうと努める / 《話》…‘を'注意して扱う,たいせつに扱う / …‘を'大事に育てる / (心に)〈ある感情〉‘を'いだく / 看護人(看護婦)として働く / 授乳する / 〈幼児が〉乳を飲む
nymph	 『ニンフ』(ギリシア・ローマ神話で泉・川・森・海などに住む美しい妖精) / 美少女 / 若虫(じゃくちゅう)(トンボ・セミなどの不完全変態をする昆虫の幼虫) 
oaken	 オーク材製の 
oakum	 まいはだ(古い麻なわをほぐしたもの;船板のすき間に詰める) 
obeah	 (アフリカ・西インド諸島で行われる)魔術 
ocean	 〈C〉『大洋』,大海 / 《the ~》五大洋の一つ / 《話》《an ~,または複数形で》ばく大(な…),広大(な…)《+『of』+『名』》 
odium	 憎悪,反感 / 汚名,悪評
often	 『しばしば』,たびたび,よく / 何度,何回
oiled	 油を差した(しみ込ませた) / 《俗》酒に酔った(drunk)
okapi	 オカピ(アフリカ産;キリンに似る) 
olden	 昔の 
olive	 〈C〉『オリーブ』[の木](南欧産の常緑樹) / 〈C〉オリーブの実(ピクルスにしたり,オリーブ油を採る) / (また『olive green』)〈U〉オリーブ色,黄録色 / オリーブの;オリーブ色の
omega	 〈C〉オメガ(ギリシア語アルアァベット24文字の最後の字Ω,ω;英語のO,oの長音に相当) / 〈U〉(一連のものの)最後,終り(end)
onset	 攻撃,襲撃 / (病気・季節などの)始まり,開始《+『of』+『名』》
opera	 『オペラ』,歌劇 
opine	 《『opine』+『that節』》…‘と'考える,思う 
opium	 アヘン(阿片)ケシの種子から製造;催眠剤・鎮痛剤として使われる) 
optic	 目の;視覚の 
orate	 演説する,演説口調で話す 
orbit	 (天体・人工衛星の)『軌道』;軌道の1周 / (活動・影響・知識の)範囲 / (軌道に沿って)…‘の'周りを回る / 〈人工衛星〉‘を'軌道に乗せる / 軌道に沿って回る,軌道に乗る 
organ	 『オルガン』,パイプオルガン(pipe organ),リードオルガン(reed organ),電子オルガン(electronic organ),手回しオルガン(barrel organ) / (動植物の)『器官』 / (政党・会社などの)機関誌,機関紙 / 《しばしば複数形で》(行動・実施などの)組織,機関
oriel	 (壁から外に突き出た)張り出し窓,出窓 
osier	 コリヤナギ[の枝](枝はかご細工に用いる) 
other	 《no,one,some,anyなどを伴って》『別の』,ほかの,違った / 《other thanの形で補語に用いて》…とは違った,…とは別の / 《the ~》(二者のうちの)『もう一方の』,他方の;『反対の』,向こう側の;(三者以上のうち)それ以外の,残りの / 『ほかのもの』,ほかの人[たち] / 《the ~》(二つの中で)『もう一方のもの』(『人』り,(三つ以上の中で)『これ以外のもの』(『人』),残りのもの(人) / 《『other』 『than』の形で》(…と)別の方法では,(…)ではなく
ought	 《義務・当然》…『すべきである』,するのが当然である / 《忠告・願望》…するのが望ましい,するのがよい / 《見込み・当然の結果》…『するはずである』,きっと…するであろう 
ounce	 〈C〉『オンス』(重量の単位;《略》『oz.』;常衡で1オンスは1/16ポンド(28.35gr.),金衡で1/12ポンド(31.1gr.)) / 〈C〉液量オンス(1オンスは《米》では1/16パイント(pint),《英》では1/20パイントに等しい) / 《通例否文で》《an ~》少量(の…)《+『of』+『名』》 
ousel	 =ouzel 
outer	 外に,外側の,外部の / 中心から遠い
outre	 (考え方・行動などが)常軌を逸した,奇異な,異常な 
ouzel	 クビワツグミ(全体が黒く胸に白い輪のある鳥) 
ovary	 卵巣 / (花の)子房
ovate	 (特に葉が)卵形の 
overt	 明白な,公然の 
ovule	 胚珠(はいしゅ) 
owing	 (…に)『未払いの』,支払うべき(due)《+『to』+『名』》 
owlet	 フクロウの子 / 小型のフクロウ
owner	 『持ち主』,所有者 
oxide	 酸化物 
pacer	 歩測者 / 側対歩で進む馬
padre	 (イタリア・スペイン・ポルトガル・南米などの)神父(father) / 《話》従軍牧師
paint	 〈U〉『ペンキ』,『塗料』 / 〈U〉〈C〉(油性・水性の)絵の具(チューブ入りおよび水に溶かす前の固型状のもの) / 〈U〉《しばしば軽べつして》(化粧品の)口紅,ほお紅 / …‘を'『絵の具でかく』 / …‘に'ペンキ(塗料)を塗る / …‘を'言葉で描き出す / (薬・化粧品などを)〈傷口・顔など〉‘に'塗る《+『名』+『with』+『名』》 / 〈人が〉ペンキ(塗料)を塗る,絵の具で絵をかく / 〈物が〉よく塗れる,絵の具がよくつく / 《しばしば軽べつして》化粧する
palmy	 ヤシ(シュロ)の多い,繁栄する,勝利を得た,意気揚々とした,椰子の茂った,手のひらへのむち打ち 
palsy	 麻痺(まひ),中風 / …‘を'麻痺させる(paralyze)
panel	 『はめ板』,鏡板,仕切り板,『パネル』(壁・天井・ドアなどを装飾する板) / (板・プラスチックなどの薄い)1枚板,合板 / (絵画の)画板,パネル画;(写真の)パネル版 / (飛行機・自動車などの)パネル,計器板 / (スカート・ドレスなどに縫いつける)別布,パネル / 《集合的に》(討論会などの)討論者団,審査団,参加者の一団 / (…で)…‘に'パネルをはめる,はめ板を張る《+『名』+『with』(『in』)+『名』》 
panic	 〈C〉〈U〉『あわてふためき,恐慌』,ろうばい / 〈C〉経済恐慌,パニック / 《単数形で》《米俗》とてもおかしなもの,珍無類なもの / あわてふためく,恐慌に陥る / …‘を'あわてさせる / 《米俗》〈観客〉‘を'沸きたたせる
pansy	 サンシキスミレ / 《話》女のような男;同性愛の男
panto	 =pantomime 
pants	 《米》『ズボン』(trousers),ジーパン,スラックス / 《おもに》パンツ(underpants);(婦人・小供用の)パンティー
parch	 〈熱・太陽などが〉〈のど・土地など〉‘を'からからに乾かす / 〈豆など〉‘を'いる,あぶる / からからに渇く
parky	 (空気などが)ひんやりとした,冷たい 
parse	 〈文〉‘を'文法的に説明する;〈文〉‘を'構成要素に分折する 
party	 『社交的な集まり』,パーティー / 『一』,一隊,一団 / 『党』,政党 / (ある行動・計画などの)関係者,仲間,(時に)参加団体《+『to』(『in』)+『名』》 / (契約・訴訟などの)当事者,記名人;訴訟当事者(原告または被告のこと) / 《話》人(person)
parve	 (ユダヤ教で)精進料理の(原料に獣肉や乳を用いない) 
paste	 (接着用の)『のり』 / (一般に)のり状のもの / (菓子を作るための)練り粉,ペースト / (人造宝石用材料の)鉛ガラス;模造宝石 / (…に)…‘を'『のりではる』《+『down』+『名』+『in(on)』+『名』》 / (…を)…‘に'のりではり付ける《+『名』+『with』+『名』》 / 《俗》<顔・体など>‘を'強打する,なぐりつける 
pasty	 のりのような / (顔色などが)青白くて不健康な(pale)
patch	 (補修・補強のための)『つぎ当て』;当て布;当て板,当て金;(アップリケで縫いつけた)布切れ / (傷口などを覆う)『傷当て』 / (色などが周囲と区別できる)(…の)まだら,班点;断片,破片《+『of』+『名』》 / 小さな地面(畑) / (補修・補強のために)…‘に'『つぎ当てる』;(装飾のために)…‘に'当て布をする / …‘を'つぎ合わせて作る
paten	 パテナ(聖体祭儀のときパンをのせる金属製の皿) 
pater	 おやじ,父 
patio	 (スペイン風住宅の)中庭 / (戸外の食事や談笑のための)テラス
patsy	 他人の罪を負う人 / お人よし,かも
pause	 『小休止』,中断,休息;(会話,読み書きの間に入れる)一息,一区切り / (音楽の)延音記号,フェルマータ / (一時的に)『ちょっと休止する』,立ち止まる;(…するのを)ちょっとやめる / (…の所で)停滞する,ちゅうちょする《+『of』(『upon』)+『名』》
paved	 (タイル・アスファルトなどで)舗装された / 《補語にのみ用いて》(…で)満ちあふれる《+『with』+『名』》
pawky	 《おもに英》ずるい,悪賢い 
payer	 支払い人 
peach	 〈C〉『モモ』(『桃』) / 〈C〉桃の木 / 〈U〉黄色がかった桃色 / 〈C〉《a ~》《話》すてきなもの;かわいい娘 / 黄色がかった桃色の 
peaky	 峰のようにとがった / 衰えた,やつれた / 《話》気分が悪い 
pearl	 〈C〉『真珠』,パール / 〈C〉(形・光沢などが)真珠のようなもの / 〈C〉(真珠のように)価値のあるもの(人),傑出したもの(人) / =mother=of-pearl / (また『pearl gray』)〈U〉真珠色 / 真珠の[ような] / 真珠色の / 真珠を採取する
peaty	 泥炭を含む,泥炭に似た 
pecan	 ペカン(米国原産のクルミの一種);ペカンの実(食用になる) 
pedal	 (自転車・自動車などの)『ペダル』,踏み板 / (ピアノなどの)ペダル,踏み板 / …‘の'ペダルを踏む;(ペダルを踏んで)…‘を'走らせる / ペダルを踏む;(ペダルを踏んで)動かす / (人・動物の)足の / ペダルの
penal	 (特に,法的な)刑罰の / 刑事上の
penis	 陰茎,ペニス 
perch	 (鳥の)『止まり木』,(枝など)止まり木になるもの / 高い場所;(一般に)高い地位 / 《英》パーチ(長さの単位,約5メートル;面積の単位,25.3平方メートル) / (高い所に)…‘を'置く,のせる《+『名』+『on』+『名』》 / 〈鳥が〉止まり木に止まる / (高い所に)止まる,休む,腰をすえる《+『on』(『upon』)+『名』》
peril	 〈U〉(差し迫った大きな)『危険』,危難,危機 / 〈C〉危険をもたらすもの / …‘を'危険にさらす 
perky	 活発で元気のよい,意気揚々とした
pesky	 やっかいな,うるさい 
petal	 花弁,花びら 
phage	 =bacteriophage 
phase	 (変化・発達の)『段階』,『局面』 / (物事の)『面』,様相《+『of』+『名』》 / (月・惑星などの)相 / …‘を'段階的に調整(整理)する
phial	 =vial 
phlox	 フロックス,クサキョウチクトウ 
phone	 〈U〉〈C〉『電話』;〈C〉『電話機』,受話器 / …‘に'『電話をかける』 / 『電話をかける』 
piano	 『ピアノ』 
picky	 ささいなことにやかましい,気むずかしい 
picot	 ピコット(ししゅう・レース・リボンなどの縁に施す丸い輪飾りの一つ) / …‘に'ピコットで縁飾りする
pieta	 ピエロ(キリストの遺体をひざにだいて嘆く聖母マリアの絵や像) 
piety	 〈U〉敬けんなこと,信心 / 〈U〉(両親・母国・理想などに対する)忠誠,敬愛 / 〈C〉敬けんな行為(信仰) 
pigmy	 =pygmy 
piker	 しみったれ,けち 
pilau	 =pilaf 
piles	 痔疾(じしつ) 
pilot	 『水先案内人』舵手(たしゅ) / (飛行機の)『パイロット』,操縦士 / 案内人,先導者(leader) / =pilot light / 試験的な,実験的な,予備的な / 《方向を表す副詞[句]を伴って》〈船〉‘の'『水先案内をする』 / 〈飛行機〉‘を'操縦する;〈船〉‘の'かじを取る / 《方向を表す副詞[句]を伴って》(|に向けて)〈人〉‘を'案内する,導く
pinch	 (…で)…‘を'『つねる』,『つまむ』《+『名』+『in』+『名』》 / (靴などが)…‘を'『締めつける』 / 《しばしば受動態で》〈悲しみ・苦通などが〉〈人・心・体など〉‘を'苦しめる,悩ます / (木などの形を整えたりするために)〈芽・若枝など〉‘を'摘み取る《+『off』(『back』)+『名,名』+『off』(『back』)》 / 《俗》…‘を'盗む,巻き上げる / 《話》《受動態で》…‘を'逮捕する / 〈靴・帽子などが〉『締めつける』,きつく締まる / (…を)けちけちする《+『on』+『名』》 / (…を)『つねる』(『つまむ』)『こと』《+『on』+『名』》;(靴などが)きつくて痛いこと / (…の)一つまみ,少量《+『of』+『名』》 / 《the pinch》(飢え・金銭上の)苦しみ,難儀 / 危機,危急の時 / 《属》盗み / 《俗》逮捕
piney	 =piny 
pinko	 左翼がかった人 
pinto	 まだらの,ぶちの / まだらの馬(小馬)
pious	 『敬けんな』,信心深い / 宗教的な,宗教上の / 《軽べつして》敬けんを装った,信心ぶった 
pique	 《しばしば受動態で》(…で)〈人〉‘を'憤慨させる,‘の'気持ちを傷つける《+『名』+『at』(『by』)+『名』(a persons do『ing』)》 / 〈人,人の好奇心・野心など〉‘を'そそる,刺激する / (…に対する),立腹,不きげん《+『at』(『against』)+『名』(a persons do『ing』)》 
pitch	 ピッチ(石油・コールタールなどで蒸留後に浅る黒いかす) / 松やに,樹脂 / …‘に'ピッチを塗る 
pithy	 髄の;髄のある / 簡潔で要領を得た
piton	 ピトン(岩登りに用いるロープを通す環のついた金属クギ) 
pivot	 (機械の)旋回軸 / 中心人物;要点,かなめ / 旋回 / (…を軸にして)旋回する;回転する《+『on』(『upon』)+『名』》 / 《『pivot on』(『upon』)+『名』》…によって決まる,…に左右される / …‘を'旋回軸の上に恥く;…‘に'旋回軸をつける
place	 〈C〉『場所』,『位置』;(物の占める)空間 / 〈C〉『地域』,地方,土地 / 〈C〉(特定の目的のための)『場所』,建物 / 〈C〉《話》住居,家 / 〈C〉(体や物などの表面の)箇所,局部 / 〈C〉(書物中の)読んでいる家所 / 〈C〉席,座席 / 〈C〉『地位』,立場,境遇 / 〈C〉『職』,勤め口;(職場・学校などの)席,定員 / 〈C〉任務,役目 / 〈C〉(説明などの)順序,段階 / 〈C〉《米》(競馬などで)第2着 / 《多く固有名詞に用いて,P-》通り,広小路;広場 / 〈C〉(数字の)けた,位(くらい) / 《場所を表す副詞[句]を伴って》…‘を'『置く』,配置する,据える / (職,地位に)〈人〉‘を'つかせる,任ずる,〈人〉‘に'(…の)職を見つけてやる《+『名』+『in』(『as, with』)+『名』》 / (人・物に)〈信頼・希望など〉‘を'置く,かける《+『名』+『on』(『in』)+『名』》 / (店などに)(…の)〈注文〉‘を'出す《+『名』〈注文〉+『for』+『名』〈品物〉+『with』+『名』〈店〉》 / (…だと)…‘を'見きわめる,思い出す《+『名』+『as』+『名』》 / 《順位を示す副詞を伴って》(競争などで)…位(着)になる
plaid	 〈U〉格子じま;格子じまの織物 / 〈C〉(スコットランド高地人の用いる)格子じまの肩掛け / 格子じまの 
plain	 『はっきり見える』(『聞こえる』) / 『はっきり理解できる』,明白な / 全くの(sheer) / 混ぜ物のない,生(き)のままの;飾りのない;無地の / ありのままの / 『質素な』,飾り(模様)のない / (食べ物が)淡白な / 平凡な,並みの,普通の;素朴な / 『平原』,平野;《the Great Plains》(北米の)大平原地帯 
plait	 (また『plat,』《おもに米》『braid』)(髪・麦わらなどの)編んだもの / =pleat / (また『plat,』《おもに米》『braid』)〈髪〉‘を'編む;〈敷き物など〉‘を'編んで作る / =pleat
plane	 『平面』,水平面 / 『水準』,程度 / 《話》『飛行機』 / (面が)平らな,平たんな / 平面の,平面図形の;平面上にある / 〈飛行機〉滑走する
plank	 『厚板』 / 政党綱領項目(箇条) / (船から桟橋にかける)歩み板,タラップ / 〈床など〉‘を'厚板で張る / 《米》〈肉・魚など〉‘を'板にのせてあぶり焼きにして食卓に出す 
plant	 (動物に対して)『植物』,草木・(樹木に対して)『草』,草本(そうほん)( 木部があまり発達せず地上部が一年で枯れる植物)・苗,苗木・生産設備,工場,プラント設備,装置・《俗》(人をおとしいれる)わな,おとり / 〈苗など〉‘を'『植える』,〈種〉‘を'まく・(植物を) ‘に'植える《+『名』+『with』+『名』》 / (…に)〈思想など〉‘を'植えつける《+『名』+『in』+『名』》・《場所の副詞[句]を伴って》(ある場所)…‘を'しっかりと置く(すえる,立てる) / ・〈工場・生産設備など〉‘を'建設する・《俗》〈スパイ〉‘を'送りこむ,〈わな〉‘を'仕掛ける・（嫌疑がかかるように）こっそり置く
plash	 =splash 
plate	 〈C〉(通例各人用の丸い)『平皿』 / 〈C〉(料理の)『1皿』[『分』]《+『of』+『名』》 / 〈C〉料理の1人前 / 〈C〉(教会などの)献金皿 / 〈U〉《集合的に》(スプーン・皿など)金(銀)製の食器類 / 〈C〉(金属・ガラス・プラスチックなどの)平板,板金 / 〈C〉(金属・木などの)標札,ナンバープレート / 〈C〉金属(石,木)版画;(本文と別刷りの)図版 / 〈C〉(印刷方法の)電気版,ステロ版 / 〈C〉(写真の)感光板 / 〈C〉《the~》(野球の)本塁(home plate) / (…を)…‘に'めっきする《+『名』+『with』+『名』》 / (保護のために)…‘を'板金で覆う / (印刷で)…‘を'電気版(ステロ版)にする
platy	 プラティ(メキシコ産の淡水魚) 
plead	 嘆願する,懇願する / (訴訟で)(…を)弁護する《+『for』+『名』》;(…に)抗弁する,申し開きをする《+『against』+『名』》 / …‘を'言い訳(理由)として述べる / (訴訟)…‘を'弁護する,弁論する
pleat	 (布などに付けた)ひだ,プリーツ / …‘に'ひだをつける
plena	 plenumの複数形 
plonk	 =plunk 
pluck	 〈花・果物など〉‘を'『摘む』,もぐ(pick) / (…から)〈羽毛など〉‘を'『むしる』,引き抜く《+『名』+『from』(『off』)+『名』》 / …‘を'羽毛を引き抜く / (指・つめなどで)〈楽器の弦〉‘を'はじく,かき鳴らす / (…を)ぐいと引く,引っ張る《+『at』+『名』》 / 〈C〉ぐいと引くこと / 〈U〉(特に危険や困難に際して見せる)勇気,胆力 / 〈U〉《the~》(動物の)臓物
plumb	 （測量・釣りなどの）おもり,鉛錘,(水深を測る)測鉛 / 垂直の(vertical) / 《話》すっかり / 垂直に(vertically) / 《話》全く / (下げ振り糸で)…‘を'垂直かどうか調べる;…‘を'垂直に調整する《+『up』+『名,』+『名』+『up』》 / 〈…の垂直・深さ〉‘を'おもり(測鉛)で測る;《比喩(ひゆ)的に》…‘を'測り知る / …‘を'垂直にする
plume	 《複数形で》(特に大きくて目立つ装飾用の)『羽毛』羽毛飾り,(帽子などの)前立(まえだて) / 大きな羽毛に似た形の物;水柱,煙など《+『of』+『名』》 / …‘を'羽毛で飾る / (くちばしで)〈羽毛〉‘を'整える
plunk	 〈弦楽器〉‘の'弦をかき鳴らす,‘を'はじく / 《話》…‘を'どすんと投げ出す,ぽんと置く《+『down』+『名』》 / 《話》(…の上に)どすんと落ちる《+『down on』(『into』)+『名』》 / 〈弦楽器が〉ポロンと鳴る / (弦楽器を)ポロンと鳴らすこと;ポロンと鳴る音 / 《米話》ごつんとなぐること / ポロンと;どすんと 
plush	 プラシ天 《 (ビロードの一種で厚いけばがある) / 豪華な,ゼいたくな
poach	 (卵・魚など)‘を'熱湯に落として煮る 
podgy	 =pudgy 
poesy	 =poetry 
poilu	 (第一次大戦中の)フランス兵 
point	 〈C〉(針・鉛筆・剣などの)『とがった先』,(…の)先端《+『of』+『名』》 / 〈C〉岬(みさき) / 〈C〉(小数点・句読点などの)点 / 〈C〉(図形上の)点 / 〈C〉(ある特定の)『地点』(spot),場所(place) / 〈C〉(計器の目盛りなどの)『点』,『度』 / 〈C〉時点,瞬間 / 〈C〉《単数形で》(物語・議論などの)『要点』,核心《+『of』(『in』)+『名』》 / 〈U〉(…の)『目的』,『意義』,ねらっている点《+『of』(『in』)+『名』(do『ing』)》 / 〈C〉(全体の中の)個々の項目,細目(item),細部(detail) / 〈C〉特徴(characteristic),特質(trait) / 〈C〉(競技・学校の成績などの)得点 / 〈C〉ポイント(活字の大きさの単位;約1/72インチの大きさ) / (…に)〈銃・指など〉‘を'『向ける』《+『名』+『at』(『to, toward』)+『名』》 / …‘に'『指し示す』《point+名+to+名…に…をさし示す》 / …‘の'先をとがらせる,‘に'先を付ける / …‘に'点を打つ;…‘に'小数点を付ける;…‘に'句読点を付ける / 〈猟犬が〉〈獲物〉‘を'指し示す / (…を)(指などで)『示す』,指し示す《+『at』(『to, toward』)+『名』(do『ing』)》 / 〈猟犬が〉獲物の位置を示す
poise	 …‘を'つりあいをとって置く,…‘の'平衡を保つ / 《まれ》(すぐに使えるように)…‘を'構える / つりあい(平衡)を保っている / つりあい,平衡 / 平静,落つ着き 
poker	 火かき棒 / 突く人(物)
pokey	 監獄・刑務所 
polar	 『極地の』;南(北)極の / 正反対の
polka	 ポルカ(ボヘミアに起こったダンス;その曲) 
porch	 ポーチ(母屋(おもや)から張り出した玄関,車寄せ,入り口部分) / 《米》ベランダ
porgy	 (地中海・大西洋沿岸産の)タイ,タイの類 
porky	 (人が)丸々とふとった,豚のような 
poser	 難題,難問 / (絵・写真の)モデル / =poseur 
posit	 (論争のために)仮定する,(事実として)断定する 
pouch	 (革製の)小袋(たばこ入れ・さいふなど);郵便袋;(兵隊の)弾薬袋 / (カンガルーなどの)腹袋 / (動物の)ほお袋 / (目の下の)たるみ
poult	 (七面鳥・鶏などの)ひな 
pound	 『ポンド』(一般に商業で用いられる重量の単位;16オンス;約453.6グラム;{略}『1b.』) / ポンド(英国・アイルランドなどの貨幣の単位(pound sterling)およびその紙幣;もと20シリング(=240ペンス);1971年2月以後は100ペンス;{略}￡) / トロイポンド(金・銀の重量単位;373.2グラム) 
power	 〈U〉(名身が生れつき備えている,また物事を遂行できる)『能力』,『力』 / 〈U〉(…に対する)権力,支配権《+『over』+『名』》 / 〈C〉(法・官職などによる)権限 / 《複数形で》(生まれながらの)体力,知力,才能 / 〈C〉権力者,実力者;影響力のある集団;強国・大国〈U〉軍事力;国力 / 〈U〉強さ,力 / 〈C〉《通例複数形で》神;悪魔 / 〈U〉動力;工率,仕事率 / 〈U〉(電気などの)エネルギー,力 / 〈C〉(数学で)累乗 / 〈U〉(レンズの)倍率 / 〈U〉《a~》《話》(…の)多数,多量 / 〈機械〉‘に'動力を供給する 
prank	 (悪意のない)悪ふざけ,戯れ 
prate	 《『prate』 『about』+『名』》(…を)べちゃくちゃしゃべる,くどくどと話をする 
prawn	 《おもに英》テナガエビ,クルマエビ / エビを捕まえる
price	 〈C〉(売買の)『値段』,『価格』 / 〈U〉《しばしばa~》(何かを手に入れるための金銭以外の)『代償』,代価 / 〈C〉(犯人逮捕などの)賞金,ほうび / 〈C〉(競馬などの)賭(か)け率 / 《しばしば受動態で》〈商品〉‘に'(…の)値段をつける《+『名』〈商品〉+『at』+『名』〈金額〉》 / 《話》…‘の'値段を確かめる
prick	 (…で)…‘を'『ちくりと刺す』,突く《+『名』+『with』+『名』》 / 〈人,人の心身〉‘を'『ちくちく痛ませる』,ちくちく苦しめる / 『ちくりと刺すこと』 / 刺してできた傷,突き傷;刺し穴 / 刺すような痛み;(心の)うずき,痛み《+『of』+『名』》 / とげ,針
pricy	 =pricey 
pride	 〈U〉『自尊心』,自尊 / 〈U〉『得意』,自慢,誇り / 〈U〉『高慢』,『うぬぼれ』,思い上がり / 〈C〉《単数形で》(…の)『自慢の種』,誇りにする物《+『of』+『名』》 / 〈C〉(特にライオン・クジャクの)群れ《+『of』+『名』》 / 《『pride』『oneself』『on』(『upon』)+『名』(do『ing』)》…‘を'自慢する
prime	 (重要さ・価値などにおいて)『首位の』,『主要な』 / 『最上等の』,最高品質の / (数が)素数の;公約数のない / 〈U〉《the ~》(…の)『全盛期』・最盛期・青春・盛り《+『of』+『名』》 / 〈U〉《the ~》《文》(…の)初期,初め《+『of』+『名』》 / =prime number / 〈旧式の火器〉‘に'火薬を詰める / 〈ポンプ〉‘に'呼び水をする / 〈キャブレター〉‘に'燃料を入れる / 〈画面・壁など〉‘に'下塗りする / (…を)〈人〉‘に'前もって教え込む《+『名』〈人〉+『with』+『名』》 / 《話》(飲食物を)〈人〉‘に'詰め込む《+『名』〈人〉+『with』+『名』》
prink	 =primp 
print	 …‘を'『印刷する』 / 〈原稿・本など〉‘を'『出版する』 / …‘を'『活字体で書く』 / 〈写真〉‘を'『焼きつける』,〈印画〉‘を'つくる / (…に)…‘を'押してつける;(心に)…‘を'刻みつける,印象づける《+『名』+『on』+『名』》 / (印刷・焼きつけなどによって)〈活字・模様・写真などが〉現れる,写る;〈紙などが〉印刷できる / 〈機械が〉印刷する / 活字体で書く / 〈U〉『印刷』,印刷の字体 / 〈C〉《しばしば複合語で》(押した)跡,しるし / 〈U〉プリント模様;プリント生地;〈C〉プリント地の衣服 / 〈C〉(写真の)印画,陽画(positive) / 〈C〉版画 
prism	 プリズム(分光に用いる透明な三角柱) / (幾何で)角柱
privy	 (…の)内情に通じた《+『to』+『名』》 / 屋外便所
