have	 (また《話》『have got』)〈物〉‘を'『持っている』,所有している(進行形にできない)・(また《話》『have got』)〈親類・友人など〉‘が'『いる』,‘を'持っている,〈召使など〉‘を'かかえている;〈動物〉‘を'飼っている(進行形にできない) ・(また《話》『have got』)(特質・付属物として)…‘を'『備えている』,‘が'ある(進行形にできない) ・(また《話》『have got』)〈感情・意見など〉‘を'持つ,抱く(進行形にできない) ・《『have to』do》(また《話》『have got to』do)…『しなければならない』;《不定文で》…する必要がある・《『have to be』…》…に違いない・〈ある状態〉‘を'経験する,〈病気〉‘に'かかる / …‘を'食べる,飲む,〈たばこ〉‘を'吸う・《動作を表す名詞を目的語にして》《話》〈ある動作・行為〉‘を'する,行う・《『have』+『名』〈人〉+do》《しばしばwill, wouldと共に》〈人〉‘に'(…)させる,してもらう,される / 《『have』+『名』+『過分』》…‘を'(…)させる,される,してもらう・《+『have』+『名』+『形』(『名』,『過分』,do『ing』)〈補〉》…‘を'(…の)状態に保つ,(…の)ままにしておく(進行形にできない) / …‘を'得る,もらう,受ける(進行形にできない) ・〈人・動物が〉〈子〉‘を'産む,もうける・《通例否定文で》…‘を'許す,認める・(財産・社会的地位などを)持っている人;(資源・核兵器を)持っている国
pick	 (入念に)…‘を'『選ぶ』,選び取る / 〈草花・果実など〉‘を'『摘む』,もぐ / 〈鳥など〉‘の'羽をむしる;(…から)…‘を'むしる《+『名』+『from』+『名』》 / (とがった物で)…‘を'つつく,つついて穴をあける《+『名』+『with』+『名』》 / 〈鳥などが〉〈えさ〉‘を'つつく,つついて食べる / 〈争いなど〉‘を'しかける;(人に)〈口論など〉‘を'ふっかける《+『名』+『with』+『名』〈人〉》 / (針金などで)〈錠〉‘を'こじあける / 〈ポケット・さいふなど〉‘の'中身をすり取る / 〈弦楽器・弦〉‘を'指で鳴らす,つまびく / 入念に選ぶ / 〈鳥が〉えさをつつく;(食浴がなくて)〈人が〉(…を)少しずつ食べる《+『at』+『名』》 / 〈U〉(…の)選択(choice),(…を)選ぶこと(権利)《+『of』+『名』》 / 〈C〉(…から)選択された人(物);《the~》(…から)選ばれた最上の人(物)《+『of』+『名』》 
size	 〈U〉〈C〉(人や物の)『大きさ』 / 〈U〉大きいこと / 〈U〉数量,規模 / 〈C〉(帽子・靴・シャツなどの)『サイズ』,『寸法』,型 / 〈U〉《話》実情,真相 / …‘を'大きさ(寸法)によって分類する / …‘を'ある寸法に作る 
army	 《ときにA-》『陸軍』 / 《the A-》軍隊;(一国の全)軍隊 / (共通の主義・主張のために組織された)(…の)『団体』,集団《+『of』+『名』》 / (人・動物などの)大群《+『of』+『名』》
boat	 『小型の船』,小舟,ボート / 《話》(大小に関係なく一般に)船,汽船 / 舟形の容器 / 舟に乗る / …'を'舟で運ぶ 
fail	 『失敗』する,しくじる;落第する / 不足する,欠けている / 『衰える』,弱くなる / 〈会社などが〉破産する,倒産する / (いざというときに)〈人〉‘の'『役にたたない』,期待を裏切る,〈人〉‘を'見捨てる / 〈教師が〉〈学生・生徒〉‘を'落とす,‘に'落第点をつける / 〈学科・試験など〉‘に'『落第する』 / =failure
gain	 (努力して)…‘を'『得る』,手に入れる / …‘を'『増す』 / 〈競争など〉‘に'勝つ;〈賞など〉‘を'勝ち取る / 《文》(特に努力をして)〈目指す場所〉‘に'到達する;〈目的など〉‘を'達成する / 得をする / (…において)進歩する,よくなる,向上する;(体重・身長・能力など)増す《+in+名》 / 〈時計が〉進む / 〈C〉(…に)加えたもの《+『to』+『名』》;(…において)増加したもの《+『in』+『名』》 / 《複数形で》『利益』(profits);賞金 / 〈U〉利益を得ること,獲得
pain	 〈C〉〈U〉(肉体のある部分の)『苦痛』,『痛み』 / 〈U〉(精神的な)『苦痛』,心痛 / 《複数形で》骨折り,苦労,努力 / 〈C〉不快感,いやな感じ;うんざりさせるもの,やっかい者 / (肉体的・精神的に)…‘に'苦痛を与える(受動態にできない) 
poet	 『詩人』,歌人 / 詩的才能のある人
join	 〈二つ以上のもの〉‘を'『つなぐ』,結合する《+『名』+『together』(『up』)》;(…に)…‘を'つなぐ《+『名』+『to』(『onto』)+『名』》 / (線などで)〈二つ以上のもの〉‘の'間を結ぶ(つなぐ)《+『名』+『by』(『with』)+『名』》 / (友情・結婚などで)〈人〉‘を'結びつける《+『名』+『in』+『名』》 / 〈川・道などが〉…‘と'いっしょになる,合流する / 〈会など〉‘に'『加入する』 / (…で)〈人〉‘の'『仲間に入る』,‘と'いっしょになる《+『名』〈人〉+『in』(『for』)+『名』,+『名』〈人〉+『in』do『ing』》 / (…に)『加わる』《+『in』+『名』〈事〉/+『in』 『with』+『名』〈人〉》 / (人と…を)『ともにする』《+『with』+『名』〈人〉+『in』+『名』(doing)》 / 〈川・道などが〉『いっしょになる』,合流する / 接合箇所(点,面,線);継ぎ目
left	 leaveの過去・過去分詞 
suit	 〈C〉『スーツ』 / 〈C〉《複合語を作って》(…用の)服 / 〈C〉『訴訟,』告訴(lawsuit) / 〈C〉(カードゲームで)同種のカードの一組;同種のカードの持ち札 / 〈U〉〈C〉嘆願,懇願 / 〈U〉《古》求愛,求婚;嘆願 / 〈C〉(…の)一組,一そろい《+of+名》 / …‘に'『適する,』合う / 《しばしば受動遠で》(…に)…‘を'合わせる,適応させる / 〈人〉‘に'『似合う』 / 〈人〉‘に'都合がよい,‘を'満足させる / 適する,合う / 似合う / 都合がよい
bank	 『土手』,堤 / 川岸;《複数形で》(川の)両岸 / (土手のように)長く盛り上がったもの / 州(す),浅瀬 / (丘などの,通例けわしい)傾斜面,坂 / (飛行機が施回するときの)傾斜 / |'を'土手で囲う(守る) / …‘に'土手を築く / …'を'土手のように積み上げる《+『up』+『名,』+『名』+『up』》 / (長くもたせるために)〈火〉‘に'灰をかぶせる《+『up』+『名,』+『名』+『up』》 / 〈機体・車体〉'を'横に傾ける / 積み重なる,層を成す《+『up』》 / 〈車・飛行機が〉横に傾く 
film	 〈C〉(…の)『薄皮』,薄膜,薄い層《+『of』+『名』》 / 〈U〉〈C〉(写真の)『フイルム』 / 〈C〉《おもに英》『映画』;《the films》《集合的に》映画 / …‘を'薄膜でおおう / …‘を'フイルムに写す,(映画に)撮影する / 〈小説など〉‘を'映画化する / (ほこり・氷などで)うっすらとおおわれる《+『over with』+『名』》 / 映画化される
base	 《文》(人や人の行動・孝えが)『卑しい』,下劣な / (金属が)質の劣った;(貨幣が)粗悪な
hang	 《通例副詞[句]を伴って》(…に)…‘を'『掛ける』,下げる,つるす / (ちょうつがいなどで)〈ドアなど〉‘を'取り付ける《+『名』+『on』+『名』》 / …‘を'絞殺する;(犯罪で)…‘を'絞首刑にする / 《話》《damnの遠回しな語として,ののしりの言葉や強意表現に用いて》 / 〈頭など〉‘を'垂れる / (絵などで)〈部屋・壁など〉‘を'『飾る』,覆う《+『名』+『with』+『名』》;〈壁紙など〉‘を'壁に張る / 《副詞[句]を伴って》(…に)『掛かる』,垂れる,ぶら下がる / (ちょうつがいなどで)〈戸などが〉取り付けられている《+『on』+『名』》 / 首をつる,首つり自殺をする;(犯罪で)絞首刑になる《+『for』+『名』(do『ing』)》 / 掛かりぐあい,下がりぐあい,垂れ方
rock	 〈U〉〈C〉『岩』,岩石;『岩壁』;《しばしば複数形で》岩礁 / 〈C〉『岩片』;《米話》『石』,小石 / 〈C〉岩のように強固(堅固)なもの,しっかりして頼りになるもの 
burn	 〈火・家などが〉『燃える』,『焼ける』 / (火や熱によって)『焦げる』,日焼けする / 『光』(『熱』)『を出す』 / (…で)熱さを感じる,ほてる《+『with』+『名』》 / (愛憎などで)燃える,かっかとなる《+『with』+『名』》 / …'を'『燃やす』,『焼く』 / …'を'焦がす;…'を'日焼けさせる / …'を'熱く感じさせる,'を'ほてらせる / …'を'燃料にする / 『やけど』;焼け焦げ / 『日焼け』 / ロケットの噴射・（CDなどに）焼く、（音楽｛おんがく｝やデータなどを）（CDなどに）焼く
poem	 (一編の)『詩』 / 詩的な美しさ(趣き)を持つもの
inch	 『インチ』(尺度の単位で1/12foot,2.54cm;《略》『in.,in』) / わずかな距離,少量,少額,少し / 《まれ》《複数形で》身長,背たけ / …‘を'少しずつ動かす / 少しずつ動く 
song	 〈C〉『歌』,『歌曲』,唱歌 / 〈C〉〈U〉(歌うための)詩,詩歌 / 〈U〉歌うこと / 〈U〉〈C〉(鳥・小川などの)『歌うような声』(『音』)
post	 〈C〉(木・金属・石などの)『柱』,『支柱』,くい / 《the ~》(競馬の)出発標,決勝標 / 〈C〉《話》(ラグビーなどの)ゴールポスト(goalpost) / (柱・壁などに)〈掲示物〉‘を'『張る』,張り出す《+『名』〈掲示物〉+『on』+『名』》;(掲示物を)〈柱・壁など〉‘に'張る《+『名』+『with』+『名』〈掲示物〉》 / (掲示して)…‘を'公表する,公示する / 《通例受動態で》(…として)…‘を'掲示(発表)する《+『名』+『as』+『現分』(過分)》
wave	 (前後左右・上下に)『揺れる』,ひらめく,ひらひらする / (波形に)『起伏する』,うねる / (手・旗などを振って)『合図する』,手を振る;(…のために,…に向かって)手を振る《+in(to, at)+名》 / (に向かって)‘…を'振る,揺り動かす,ひらめかす《+名+at+名》 / 《方向を表す副詞[句]を伴って》(手・旗などを振って)〈人〉‘に'『合図する』 / ‘…を'起伏させる,うねらせる:〈頭髪〉‘を'ウエーブさせる / 『波』,波浪 / (…の)『波のような動き』,うねり《+of+名》 / (感情・景気などの一時的な)高まり,強まり;(寒暑の)急激な波《+of+名》 / (手・旗などを)振ること,振ってする合図;(…を)振ること《+of+名》 / (髪の)縮れ,ウエーブ / (光・音・電気などの)波
camp	 〈C〉(軍隊・登山隊・探検隊などの)『野営地』 / 〈C〉〈U〉野営のテント,仮設小屋 / 〈U〉野営,キャンプ[生活];軍隊生活 / 〈C〉夏季キャンプ場,サマーキャンプ / 《集合的に》野営する人たち,キャンプする人たち / 〈C〉(主義・信条などを同じくする)同志たち,同じ陣営;同じ立場 / 『野営する』,キャンプ生活を送る《+『out』》 
lady	 (教養・礼儀を身につけ,洗練された趣味をもつ)『淑女』,貴婦人 / 《女性(woman)に対する丁寧な言い方として》『婦人』 / 《L-》《英》…『夫人』,…令夫人(SirまたはLordの称号をもつ貴族の夫人,また公(侯,伯)爵の令嬢に対する敬称) / (一般に)女性,婦人(woman)
wash	 …‘を'洗う,洗濯する / 〈汚れ・しみなど〉‘を'『洗い落とす』《+名+away(off, out),+away(off, out)+名》;(…から)…‘を'洗い落とす《+名+off(out of)+名》 / 〈人・舟・家屋など〉‘を'『洗い流す』,押し流す《+名+away(along,down,up),+away(along,down,up)+名》,(…から)…‘を'洗い流す《+名+off(away from)+名》 / 〈波などが〉〈岸など〉‘を'『洗う』,‘に'打ち寄せる;〈雨などが〉…‘を'ぬらす,うるおす / (塗料などで)…‘を'薄く塗る;…‘を'メッキする《+名+with+名》 / 〈雨水などが〉…‘を'浸食する《+名+away(out),+away(out)+名》;〈雨だれなどが〉〈穴など》‘を'うがつ / (特に手・顔・体を)『洗う』 / 『洗濯する』 / 〈布地が〉洗濯がきく;〈洗剤などが〉よごれを落とす;〈しみなどが〉洗って落ちる《+off(out);(…から)〈しみなどが〉洗って落ちる《+off(out of)+名》 / 〈波などが〉(…に)『打ち寄せる』,(…を)洗う《+against(over)+名》 / 〈U〉《しばしば a~》『洗うこと』,洗濯 / 〈U〉《時に a~》《集合的に》(一度の洗濯の)『洗い物』,洗濯物 / 〈U〉〈C〉《しばしば複合語を作って》洗い薬,洗浄剤;(…のための)洗い薬《+for+名》 / 〈U〉《the~》(波の)打ち寄せ,(波の)打ち寄る音《+of+名》 / 〈C〉(絵の具・塗料などの)薄い一塗り;薄いメッキ / 〈U〉(船のあとに引く)白波,航跡;(飛行機などのあとに残る)気流の渦 / 洗濯のきく 
push	 《副詞[句]を伴って》(動かすために)…‘を'『押す』,押して動かす / 〈提案・要求など〉‘を'押し進める,推進する / 〈人〉‘に'押しつける / …‘を'拡張する,伸ばす / 〈商品など〉‘を'押しつける / 《話》《進行形で》〈ある年齢〉‘に'近付く / (動かすために)(…を)『押す』,突く,押し動かす / 《方向を表す副詞[句]を伴って》押し進む / 〈C〉ひと押し / 〈C〉奮闘,努力
trip	 (一般に)『旅行』,旅 / (用件での)出張,通勤 / つまずき,踏みはずし / 過ち,失策 / (機械の)掛けはずし装置 / 《俗》(麻薬の)陶酔感(幻覚症状)の間 / (…に)『つまずく』,よろめく《+over(on)+名》 / (…を)間違える,誤る,しくじる《+over(on)+名》 / 《副詞[句]を伴って》軽快な足どりで歩く / 《俗》(麻薬で) 幻覚症状に陥る《+out》 / …‘を'『つまずかせる』《+名+up,+up+名》 / 〈人〉‘を'失敗させる,しくじらせる;〈人〉‘の'揚げ足を取る,あら捜しをする《+名+up,+up+名》 / 〈止め金・クラッチなど〉‘を'急にはずす,はずして作動させる 
load	 荷,積み荷,(バス・旅客機などの)乗客数 / 《しばしば複合語を作って》1台(1そう)分(の…)《+『of』+『名』》 / (精神上の)『重荷』,心配 / (個人または機械に割り当てられた)仕事量 / (鉄砲の1回の)装てん(charge) / 《複数形で》《俗》たくさん,多数(の…)《+『of』+『名』》 / (荷・乗客などを)〈車・船など〉‘に'『積む』,載せる《+『名』〈車など〉+『with』+『名』》 / (車・船などに)〈荷など〉‘を'『積む』,載せる《+『名』〈荷〉+『into』(『in,on,onto』)+『名』》 / 〈質問・結果など〉‘を'ねじ曲げる / (フイルム・弾丸などを)〈カメラ・銃など〉‘に'装てんする,入れる《+『名』+『with』+『名』》 / (カメラ・銃などに)〈フイルム・弾丸など〉‘を'装てんする,入れる,込める《+『名』+『into』+『名』》 / 荷を積む / 弾を込める 
spot	 『斑点』(はんてん),まだら,ぶち;(太陽の)黒点 / 『しみ』,よごれ;吹出物,にきび / (…に対する)汚名,汚点《+『on』+『名』》 / 『場所』,地点;部分,箇所 / (順序・組織における)位置;立場,おかれた状況 / 《a spot》《英話》(…の)少量,ちょっぴり(の…);(…の)1杯《+『of』+『名』》 / (ラジオ・テレビ番組の)構成区分 / …‘を'『しみで汚す』,‘に'汚れをつける;…‘に'斑点(はんてん)をつける,‘を'まだら(ぶち)にする;( …で)…‘に'しみ(斑点)をつける《+『名』+『with』+『名』》 / 〈人格・名声など〉‘を'汚す,傷つける / (特定の場所に)…‘を'置く,配置する / …‘を'見つける;(…だと)…‘を'見抜く《+『名』+『as』(『for』)+『名』》 / 〈インクなどが〉『しみになる』;〈布などが〉汚れる / 即座になされる,即時払いの(引き渡しの) / 現場での,現地の / (ラジオ・テレビで)番組の間に放送される / ちょうど,ぴったり(exactly)
shop	 〈C〉《おもに英》『小売店』,『商店』(《米》store) / 《米》(百貨店などの中にある)小さい専門店 / 〈C〉(サービス業の)『店』 / 〈C〉『仕事場』,作業場 / (…で)『買物をする』《+『in』(『at』)+『名』》 / 《英俗》(人を)裏切る,密告する
lock	 錠 / (運河の)水門 / (銃砲の)発射(点火)装置 / (レスリングの)締めわざ / 車輪止め,輪止め / 〈戸など〉に『錠をおろす』(しめる) / (錠をかけたように)〈指・腕など〉‘を'締めつける / 『錠がかかる』 / かみ合う,かみ合って動かなくなる 
wind	 〈C〉〈U〉《しばしば the wind》『風』 / 〈C〉〈U〉『強風』,暴風 / 〈U〉《the wind》(せんす・扇風機などによる人工的な)『風』,あおり / 〈U〉『息』,呼吸[する力],肺活量 / 〈C〉(風の吹いてくる)方向;《複数形で》方位,方角 / 〈U〉(風で運ばれてくる獲物・狩人などの)におい,臭跡;(…の)予感,気配《+of+名》 / 〈U〉《話》実のない話,むだ話,空言,無意味 / 〈U〉(腸内の)ガス / 《the winds》《集合的に》(オーケストラの)管楽器部,管楽器演奏者 / 〈獲物など〉‘を'においをかぎ出す;〈秘密など〉‘を'かぎつける / (運動などで)…‘を'息切れさせる / 〈特に馬〉‘に'一息入れさせる,一休みさせる
fame	 『名声』,高名,声望 / 評判,世評
wage	 (通例肉体労働者の日・週ぎめの)『賃金』,給金 / 《単数・複数扱い》(罪などの)報い,応報 / (…に対して)〈戦争など〉‘を'行う《+名+against(on)+名》 
tend	 〈人が〉(…の)『傾向がある』,(…)しがちである / 〈物事が〉(ある方向に)向かう,(ある状態に)向かう
thin	 『薄い』 / 細い / 『やせた』,やつれた / (液体・気体が)『薄い』,希薄な / まばらな,密集していない / 内容のない,見え透いた / (音・声が)『か細い』 / 薄く,細く,まばらに / …‘を'薄くする,細くする,まばらにする / 薄くなる,細くなる,まばらになる
coat	 『コート』,オーバー,外とう / (男子背広・婦人スーツの)『上着』;(婦人・子供の)長上着 / (動物の)毛,毛皮;(植物の)外被,皮 / 表面をおおうもの;(ペンキ・ニスなどの)塗り;(金属などの)めっき / 〈人〉‘に'上着を着せる / 〈ほこりなどが〉〈症など〉'を'『おおう』;(ペンキなどで)〈壁など〉'を'塗る《+『名』+『with』+『名』》
soft	 (押されて形を変えるほど)『柔らかい』 / (木材・金属などが,同種の中で比較的)『柔らかい』 / (斤ざわりの)なめらかな,すべすべした / (声・音が)穏やかな,低い,静かな / (見た目に)どぎつくない,落ち着いた / (天候・気候が)穏やかな,温和な / (心・言動が)優しい,もの柔らかな / (体または精神などが)軟弱な,虚弱な / (市況・相場が)弱気の,下がり気味の / (水が)軟性の / (水音が)軟音の / アルコール分を含まない / 柔らかに / 静かに
page	 (本・手紙・新聞などの)『ページ』 / (新聞などの)欄,記事 / 《文》注目すべき事件(時期) / …‘に'ページを付ける
fast	 『速い』,急速な,すばやい,敏速な / (時計が)『進んでいる』 / 『しっかりした』,ぐらつかない / 心の変わらない,忠実な(faithful) / (色が)あせない / 《古》(女性が)身持ちの悪い;《まれに》(生活が)享楽的な / (フイルムが)高感度の,(レンズが)高速撮影用の / 『速く』;すばやく(quickly) / 『しっかりと』,固く(firmly) / 『ぐっすりと』(soundly) / どしどし,ひっきりなしに 
pure	 (金など)『混じりけのない』,純粋の / (水など)『汚れていない』,きれいな / (道徳的に)汚れていない,清らかな / (血統が)純粋の,純血の,きっすいの / 《名詞の前にのみ用いて》《話》全くの / 《名詞の前にのみ用いて》(応用的に対して)理論的な,純粋の
news	 (新しい)『報道』,記事;(一般的に)知らせ,たより) / (耳新しい)『事件』,でき事 / 《N-》(新聞名として)…新聞 
yard	 ヤード(長さの単位で3フィート,約91.4センチ;《略》櫻.(複 yds.));(日本で布を測るときの)ヤール / (特に建築業で)1立方ヤード / 帆げた 
warm	 (気候が適度に)『暖かい』,温暖な / (飲み物などが適度に)『暖かい』,(衣服・場所などが)暖かく感じられる,(人が)暖まった,ほてる / 『心の暖かい』,思いやりのある;心からの,愛情のこもった / 熱した,激した,興奮した / (色が)暖かい,暖色(赤または黄を含む色)の / (獲物の遺臭・通った跡が)新しい,生々しい / 《話》(当て物ゲームなどで目的物に)近い,もう少しの / 『…‘を'暖める』,暖かくする《+up+名,+名+up》 / 〈人・心〉‘を'興奮させる,活気づける;〈人・心〉‘を'暖かい気持ちにする《+up+名,+名+up》 / 『暖まる』,暖かくなる《+up》 / 熱心になる,活気づく,興奮する《+up》 / (人・物に)優しくなる,好意を持つ《+to(toward)+名》 / 《a~》暖まること / 《the~》暖かい場所
seat	 『腰掛け』 / 『座席』,席 / (腰掛けの)腰をおろす部分;(体・ズボン・パンツの)しりの部分,しり / (権威の)座,地位,身分;(議会における)議席《+『in』+『名』》 / (…の)予約席《+『for』+『名』》 / (…の)所在地,ありか,中心地《+『of』+『名』》 / (馬・自転車などの)乗り方 / 《しばしば受動態で》〈人〉‘を'『着席させる』 / 〈ある数〉‘の'座席がある / 〈部品など〉‘を'固定する,すえつける
weak	 (物が)『弱い』 / (通常よりも)『衰えている』,力が弱い,勢いがない / (性格の点で)『弱い』,意志薄弱な / 『劣っている』 / (相場などが)値下がりぎみの / 水っぽい,薄い / (音節・母音・語が)強勢のない,弱強勢の;(動詞が)弱変化の 
king	 『王』,国王 / 王にたとえられる人(物),…王,大立て者 / (カードの)キング / (チェスの)キング,王将
wine	 〈U〉〈C〉『ワイン』,ぶどう酒 / 〈U〉〈C〉(種々の)果実酒 / ワインカラー,赤紫色 / 〈人〉‘を'ワインでもてなす / ワインカラーの,赤紫色の 
hole	 (壁などにあいた)『穴』,割れ目;(衣類などの)破れ穴,裂け目;(道路などにできた)くぼみ,へこみ / (動物の住む)巣穴 / 《話》あばら家 / (議論・計画などの)欠点(fault) / 《話》窮地,苦境 / ホール(ゴルフで球を打ち込む穴);(球をホールに入れた)得点 / 〈物〉‘に'穴をあける(掘る) / (ゴルフで)〈球〉‘を'打ってホールに入れる(ゴルフで)球を打ってホールに入れる《+『out』》
duty	 〈C〉〈U〉(道徳・法律上の)『義務』,本分,義理 / 〈C〉《しばしば複数形で》(地位・職業などからくる)『任務』,職務,仕事 / 〈U〉《古》尊敬,敬意 / 〈C〉《しばしば複数形で》『税』(tax),関税
beat	 (連続して)…'を'『たたく』,打つ(pound) / (…に)…'を'『たたきつける』,打ちつける《+『名』+『against』+『名』》 / (…に)…'を'たたいて作る《+『名』+『into』+『名』》;〈金属〉'を'打ち延ばす / …'を'勢いよくかき混ぜる / 〈リズム・拍子〉'を'手をたたいて(手を振って,足を踏んで)とる / 〈道〉'を'踏み固めて作る / 《話》〈人〉'を'困らせる,まいらせる / 〈風・雨・波などが〉(…に)『打ちつける』,〈人が〉(…を)ドンドン打つ《+『at』(『against』,『in』,『on』)+『名』》 / 〈心臓・脈が〉鼓動する,脈打つ / ドンドン鳴る / 〈船が〉風に逆らってジグザグに進む / 『続けて打つこと』,連打 / (心臓などの)鼓動 / (警官などの)巡回(担当)区域,持ち場 / 拍子;手拍子,足拍子 / =beatnik / 《補語にのみ用いて》《俗》疲れはてた,へとへとになった / 《名詞の前にのみ用いて》《話》ビート族の
flow	 《副詞[句]を伴って》〈気体・液体・電気などが〉『流れる』 / 《副詞[句]を伴って》〈言葉・人々などず〉流れるように続く / 〈心・場所などが〉(…で)いっぱいになる,満ちあふれる《+『with』+『名』》 / 《副詞[句]を伴って》〈髪・服などが〉長く垂れる;風になびく / 〈潮が〉満ちる / (…から)生じる,発生する《+『from』+『名』》 / 〈C〉《単数形で》(気体・液体・電気などの)『流れ』《+『of』+『名』》 / 〈C〉《単数形で》(言葉・人などの)絶え間のない(よどみのない)流れ《+『of』+『名』》 / 〈C〉《単数形で》(…の)洪水,はんらん《+『of』+『名』》 / 〈U〉《the flow》満ち潮,上げ潮
dust	 〈U〉『ちり』,ほこり / 《a ~》土煙,砂ぼこり / 〈U〉粉末,粉 / 《the ~》《文》遺骨,なきがら / 〈U〉(死後の)土 / 〈U〉屈辱,恥 / 〈U〉つまらぬもの / …‘の'『ちりを払う』,ごみをふき取る《+『名』+『off』(『down』),+『off』(『down』)+『名』》;(…から)…‘を'払う《+『名』+『from』+『名』》 / (粉などを)…‘に'振り掛ける《+『名』+『with』+『名』》 / (家具などの)ほこりを払う
tear	 …‘を'『裂く』,破る,引き裂く / 〈穴など〉‘を'『破って作る』 / (…から)…‘を'『引きはがす』,もぎ取る,引き離す《+away(down, off, out, up)+名+from(out of, off)+名》 / 《受動態》で…‘を'裂いて(破って)分ける《+名+apart》 / 裂ける,破れる / 《副詞[句]を伴って》激しく(大急ぎで)動く,突進する
tire	 〈人など〉‘を'『疲れさせる』,疲労させる / 〈人など〉‘を'『飽きさせる』,うんざりさせる / 疲れる / (…に)飽きる《+of+名(doing)》
rich	 『金持ちの』,『富んだ』,豊かな / 《名詞的に》《the~;複数扱い》金持ちの人たち / (衣服・宝石・家具などが)高価でみごとな,ぜいたくな / (想像力などが)豊かな;(土地が)肥えた / (音・声が)豊かな,深みのある;(色が)濃い,あざやかな;(料理・酒の問が)濃くておいしい;(香りが)強い / 濃度が高い;(特に食物の)栄養価が高い,(油・卵・バターなどを多く含んで)濃厚な / 《話》非常におもしろい,こっけいな;《反晴的に》とんでもない,ばかげた 
rain	 〈U〉〈C〉『雨』,雨降り,降雨 / 《the rains》(熱帯地方などの)雨期,雨季 / 〈C〉《比喩(ひゆ)的に》《a ~》(…の)雨《+『of』+『名』〈複数〉》 / 《通例itを主語にして》『雨が降る』 / 雨のように降る / (…に)…‘を'雨のように降らす《+『名』+『on』(『upon』)+『名』》
clay	 『粘土』;泥土 / (聖書で,人間の肉体が造られているとされる)土
tour	 (数か所に立ち寄る比較的長期の)(…の)『観光旅行』《+around(《英》round)(through,in,of)+名》・(特に,見学,観光などの)(…の)『小旅行』《+around(《英》round)(through,in,of)+名》・(劇団の)巡業,演奏旅行・(外地の一定の場所での)服務期間・…を旅行する・ / (…を)旅行する《+at(in,through,around(《英》round))+名》
nice	 (物事が)『良い,気持ちよい』(pleasant) / (人が)『親切な』,思いやりのある / 『十分満足のできる』,すばらしい,質のいい / 微妙な,デリケートな;精密な,正確な / 育ちのいい,礼儀正しい;洗練された 
warn	 〈人〉に『警告する』 / 〈人・物事などが〉〈人〉‘に'『予告する』 / 〈人・立て札などが〉(…に近寄らないように,…から立ち退くように)〈人〉‘に'通告する《+名〈人〉+away from(from,off,out of)+名》 
ring	 『指輪』 / 『輪』,環;輪形,円形 / (円形の)サーカス演技場,公演場,競技場;(ボクシング・レスリングの)リング / 《複数形で》(体操の)つり輪 / (不法な目的で結託した)(…の)徒党,一味《+『of』+『名』》 / (原子の)環 / …を円形に取り囲む,円で囲む《+『about』(『around』,《英》『round』)+『名,』+『名』+『about』(『around』,《英》『round』)+『名』》 / 〈動物〉‘に'鼻輪(首輪,足輪)をはめる / (遊びで)…‘に'輪を投げる / 環状に動く,輪を描く
blow	 〈風が〉『吹く』 / 《副詞[句]を伴って》(…に)風(空気)を送る,吹きつける《+at(on)+名》 / 『風で動く』,なびく,吹き飛ぶ / 〈オルガン・笛・らっぱが〉鳴る / (壊れて,だめになって)吹っ飛ぶ《+『out』》 / 〈クジラが〉潮を吹く / 《副詞[句]を伴って》〈風が〉…'を'『吹く』,吹き動かす,‘に'吹きつける,〈人が〉…'を'吹く,吹き払う / …'を'吹き鳴らす / …'を'吹いて作る(ふくらませる) / 〈鼻〉'を'かむ / (爆発・故障で)…'を'吹き飛ばす / (無器用に・むちゃくちゃにやって)…'を'吹き飛ばしてなくす / 《命令形または受動態で,いまいましい気持ちを表して》 / 一吹き;《話》さっと吹く風 / (楽器の)吹奏 / (クジラの)潮吹き
bird	 『鳥』 / 〈話〉《修飾語を伴なって(目立った特徴をもった)やつ,人 / =shuttlecock / 《英俗》女 / 《俗》《the bird》(分満を表す)しーっしーっという野次《形容詞的に》『bird feathers』{名}鳥の羽『bird life』{名}〈U〉鳥の生活 
wild	 (植物・果実・はちみつなどが)『野生の』 / (鳥獣などが)『野生の』,飼い慣らされていない / (人・気性などが)『乱暴な』,無法な,手に負えない / 《おもに補語に用いて》『気違いじみた』,熱狂的な,ひどく興奮した / 《補語にのみ用いて》『熱望して』;夢中になって / (天候・海・時勢などが)『荒れた』,激しい / (人・種族などが)『未開の』 / (土地などが)『自然のままの』,荒涼とした / (計画などが)『とっぴな』,でたらめな / 的はずれの,見当違いの / 乱れた,だらしない / 《話》よい,愉快な / 『乱暴に』,やたらに;でたらめに / 荒野,荒れ地,大自然のままの状態
loan	 〈U〉(…の)『貸し付け』《+『of』+『名』》 / 〈C〉貸し付け金,貸与物 / 《『loan』+『名』〈間〉+『名』〈直〉=『loan』+『名』+『to』+『名』》《米》…‘に'…‘を'『貸す』(《英》lend) 
mail	 鎖かたびら,よろい / …‘に'鎖かたびらを着せる,武装させる
safe	 安全な,危険のない / 《come,arrive,bring,keepなどの補語にのみ用いて》無事な(に) / 危険を引き起こさない,危害を加えない / 安全を心がける,危険をおかさない / 『確かな』,まちがいのない / (野球で)セーフの / 『金庫』 / (食料などを入れる)安全戸棚,貯蔵容器
