abed	 寝床に(in bed) 
past	 『過ぎ去った』,終わった(over) / 《名詞の前にのみ用いて》『過去に起こった』,過去の,昔の / 《期間を表す語の前後で完了形の文で用いて》(…の期間を)『過ぎた』,最近(…)の / 《名詞の前にのみ用いて》『前任の』,元の / (文法で)過去の / (場所)『を通り越して』,の先に / (時刻)『を過ぎて』;(年齢)を過ぎて / (能力・限度など)『を越えて』,の及ばない / (ある数・量)『を越えて』,…以上 / 《the~》『過去』 / 《a~,one's~》(国などの)歴史;(人の)経歴,(特にいかがわしい)過去 / 過去[時制];過去形 / 『過ぎて』,通り越して 
pate	 頭,脳天;頭脳 
path	 (自然にできた)『小道』,細道;庭内の道 / (人・物の)『通り道』,通路・進路,軌道《+『of』+『名』》 / (行動の方針としての)(の)道《+『of』+『名』》)への)道程《+『to』+『名』》 
pave	 (アスファルトなどで)…‘を'『舗装する』《+『名』+『with』+『名』》 
pawl	 (歯車の)歯止め,つめ 
pawn	 〈大事な物〉‘を'資(抵当)に入れる / 〈生命・名誉など〉‘に'かけて誓う / 〈C〉質草,抵当物 / 〈U〉質入れ・質
peak	 (とがった)『山頂』,峰;最も高い所 / (独立した)鋭峰,孤峰 / 『とがった先』,先端 / (事の)最頂点,絶頂,ピーク / (帽子の)前びさし / 最高の,最大の,ピークの / 頂点に達する,最高(最大)になる 
peal	 鐘の響き,チャイムの音 / チャイム / (雷・笑い声などの)響き,とどろき《+『of』+『名』》 / 〈鐘など〉‘を'鳴り響かせる / 鳴り響く,とどろく 
pear	 『西洋ナシ』;西洋ナシの木 
peat	 ピート,泥炭(でいたん) 
peck	 …‘を'『くちばしでつつく』 / 〈穴など〉‘を'くちばし(とがった道具)でつついて開ける / 〈鳥が〉…‘を'ついばむ / 《話》(あいさつなど)〈人〉‘に'軽いキスをする / (…を)『くちばしでつつく』《+『at』+『名』》 
pelf	 《通例軽べつして》金銭(money),(不正で得た)富(wealth) 
pelt	 〈石など〉‘を'(…に)立て続けに投げる《+『名』〈石など〉+『at』+『名』》;…‘に'(石などを)投げて攻撃する《+『名』+『with』+『名』〈石など〉》 / 〈打撃・砲弾・雨などが〉…‘を'続けて打つ / 〈雨などが〉激しくたたきつけるように降る《+『down』》 / 急いで走る,疾走する / 強打 
pent	 penの過去・過去分詞 
peon	 (中南米・米国南西部の農園で,しばしば借金のかたとして働かされる)未熟練労働者 
perk	 〈頭・尾など〉‘を'ぴんと上げる《+『up』+『名,』+『名』+『up』》 / 〈人・衣総など〉‘を'さっそうとさせる《『up』+『名,』+『名』+『up』》
perm	 《英話》〈髪〉‘に'パーマをかける / =permanent wave
pert	 生意気な,こしゃくな / 活発な,元気のよい / (服装などが)いきな 
peso	 ペソ(メキシコ・キューバ・フィリピンなどの貨幣単位;《略》『P.』) 
pest	 害虫 / 《話》やっかい者 / 《まれ》ペスト 
phew	 ちぇっ(いらだち・驚き・不快・嫌悪などを表す声);ふうー(疲労・安堵(あんど)などを表す声) 
phut	 ポン,パン(なにかが破裂するようなにぶい音) 
pica	 パイカ活字;(特に1インチに10字打てる)タイプライター用パイプ活字 / 〈C〉パイカ(行の副の単位;約4.2ミリ)
pick	 (入念に)…‘を'『選ぶ』,選び取る / 〈草花・果実など〉‘を'『摘む』,もぐ / 〈鳥など〉‘の'羽をむしる;(…から)…‘を'むしる《+『名』+『from』+『名』》 / (とがった物で)…‘を'つつく,つついて穴をあける《+『名』+『with』+『名』》 / 〈鳥などが〉〈えさ〉‘を'つつく,つついて食べる / 〈争いなど〉‘を'しかける;(人に)〈口論など〉‘を'ふっかける《+『名』+『with』+『名』〈人〉》 / (針金などで)〈錠〉‘を'こじあける / 〈ポケット・さいふなど〉‘の'中身をすり取る / 〈弦楽器・弦〉‘を'指で鳴らす,つまびく / 入念に選ぶ / 〈鳥が〉えさをつつく;(食浴がなくて)〈人が〉(…を)少しずつ食べる《+『at』+『名』》 / 〈U〉(…の)選択(choice),(…を)選ぶこと(権利)《+『of』+『名』》 / 〈C〉(…から)選択された人(物);《the~》(…から)選ばれた最上の人(物)《+『of』+『名』》 
pied	 まだらの,ぶちの 
pier	 『船着き場』,さん橋(さんばし),埠頭(ふとう) / 橋脚 / (窓と窓の間の)窓間(まどあい)壁 
pike	 やり,ほこ(17世紀末まで歩兵が武器として用いた) / (やり・ほこの)…‘を'突き刺す
pile	 〈C〉(…の)『積み重ね』《+『of』+『名』》 / 《話》『多数』(…の),たくさん(の…),大量(の…)《+『of』+『名』》 / 《a~》《話》大金 / 〈C〉大建築物[群] / 〈C〉=nuclear reactor / 《副詞[句]を伴って》…‘を'『積み重ねる』,積み上げる / (…を)〈容器〉‘に'積み上げる,盛る《+『名』+『with』+『名』》 / …‘を'畜積する,ためる《+『輝箇』+『名,』+『名』+『up』》 / 『積み重なる』,積もる《+『up』》 / 《話》《方向・状態を表す副詞[句]を伴って》どやどやと動く
pine	 (また『pine tree』)〈C〉『松』,松の木 / 〈U〉松材
ping	 (小銃弾などの)ピュー(ブーン)という音 / ピュー(ブーン)と音がする
pink	 〈U〉『桃色,ピング』 / 〈C〉ナデシコ属の植物(ナデシコ・セキチク・カーネーションなど) / 《the pink》《話》最上のもの,極致,粋 / 〈C〉《しばしばPink》《話》左翼的な人,赤がかった人 / 桃色の,ピンクの / 《しばしばPink》左翼的な,赤がかった
pint	 パイント(液量および穀量の単位;《英》では約0.57リットル,《米》では約0.47リットル) 
pith	 (植物の茎の中の)髄;(果実などの)やわらかい部分 / 《the ~》(…の)重要な部分,要点《+『of』+『名』》
pity	 〈U〉(…に対する)『あわれみ』,同情《+『for』+『名』》 / 〈C〉『残念』(『遺憾』)『なこと』,惜しいこと,気の毒なこと / (…で)…‘を'『気の毒に思う』,あわれむ,‘に'同情する《+『名』+『for』+『名』(do『ing』)》 
plan	 『計画』,『案』,プラン,設計 / 『設計図』,『図面』;(小区域の)地図,市街図 / …‘を'『計画する』,‘の'案を立てる / …の設計図をかく,‘を'設計する / 計画を立てる 
plat	 小さな地面(地所) / (土地などの)図面,地図
play	 〈おもに子供が〉(…をして)『遊ぶ』,戯れる《『+at+名(doing)』》 / 『競技(試合)をする』;かけ事をする / 《状態を表す副詞を伴って》勝負する / (劇・映画・テレビで)『演ずる』,役をする / (劇場・テレビで)上演される;〈台本が〉上演できる / (楽器を)『演奏する』《『+on(upon)+名』》 / 〈楽器・音楽が〉演奏される,〈レコード・ラジオなどが〉鳴る / 〈人・動物,木の葉・炎,光・色彩などが〉遊び戯れるように動き回る / 〈水・砲火などが〉(…に)続けざまに放射する《『+on(upon)+名』》 / 〈機械の一部が〉自由に動く / (…と)浮気をする《+『around』(《英》『about』)『with』+『名』》 / (…と)〈競技・ゲーム〉‘を'『する』《+『名』〈競技・ゲーム〉+『with』+『名』》 / 〈人・チーム〉‘と'『試合する』,勝負する / 〈金〉‘を'かける;〈競走馬など〉‘に'かける / (競技・試合で)…‘の'ポジションを守る / (競技・勝負で)〈選手〉‘を'起用する,〈カードなど〉‘を'出す / …‘の'『まねをして遊ぶ』,…ごっこをする / 〈役〉‘を'『演ずる』,…‘の'役を演じる / (実生活で)…‘の'『役割を務める』,…らしくふるまう;…‘に'なりすます / 〈劇など〉‘を'公演する;〈ある場所〉‘で'興行する / 〈いたずら・詐欺など〉‘を'『働く』,しかける / 〈楽器〉‘を'『演奏する』,ひく;〈レコード・ラジオ〉‘を'かける / 〈楽曲〉‘を'『演奏する』,かける / (…に)〈水・砲火・光など〉‘を'続けざまに浴びせる《『+名+on(over, along)+名』》 / 〈C〉『演劇』,芝居;『戯曲』,脚本 / 〈U〉『遊び』,遊戯 / 〈U〉冗談,戯れ,ふざけ(fun, jest) / 〈U〉『競技』,試合;かけ事 / 〈C〉(競技での個々の)動き,プレー;〈U〉競技の番 / 〈U〉試合ぶり;(一般に)行動,行為 / 〈U〉〈C〉遊び戯れるような軽快な動き / 〈U〉(思考力などの)豆き;(機械などの)活動 / 〈U〉動きの自由;(機械の)あそび 
plea	 (…に対する)『嘆願』,懇願《+『of』+『名』》 / 《単数形で》『弁解』,言い訳,口実(excuse) / (…の)抗弁,申し立て《+『of』+『名』》 
pleb	 庶民 
pled	 pleadの過去・過去分詞 
plod	 《方向を表す副詞[句]を伴って》重い足取りで歩く,とぼとぼ歩く《+『on』(『along』,『away』》 / (…に)こつこつと取り組む《+『away』(『along』)『at』(『through』)+『名』》 / とぼとぼ歩くこと 
plot	 『小区画の土地』,小地所 / (小説・劇などの)『筋』,プロット / 『蔭謀』,たくらみ / 〈悪事〉‘を'『ひそかに計画する』,たくらむ / (地図・海図などに)…‘を'書き込む;…‘の'図表(図面)を作る / 〈土地〉‘を'区画する《+『out』+『名,』+『名』+『out』》 / (…に対して…の)『陰謀を企てる』,たくらむ《+『against』+『名』+『about』(『toward』)+『名』(do『ing』) 
ploy	 (相手の先手をとる)手だて,たくらみ,策略 
plug	 (穴・すきまなどをふさぐ)『栓』,くさび / (電気の)『差し込み』,プラグ / 《話》=spark plug / 消火栓(fireplug) / (一口分に切った)かみたばこ / 《話》(テレビ・ラジオの番組にはさんだ)宣伝,広告 / 《米俗》老いぼれ馬 / 〈穴・すきまなど〉‘を'『ふさぐ』,‘に'せんをする《+『up』+『名』,+『名』+『up』》 / …‘の'プラグを努し込む《+『in』+『名,』+『名』+『in』》;コンセントに)…‘の'プラグを努し込む《+『名』+『into』+『名』》 / 《話》(…に)こつこつ(せっせと)取り組む《+『away』(『along』)『at』+『名』》
plum	 〈C〉『西洋スモモ』;西洋スモモの木 / 〈C〉(プティング・パイなどに入れる)干しぶどう / 〈U〉(西洋スモモに似た)濃紫色 / 〈C〉《話》(人が)手に入れたがるもの(もうけ仕事など) / 濃紫色の,スモモ色した 
plus	 『…を加えて,を足して』 / 《話》『…に加うるに』,とともに / 《名詞の前にのみ用いて》(数学で)『正の』,『プラスの』 / 《名詞の前にのみ用いて》(電気が)『陽の』 / 余分の(extra) / (等級が)…の上 / プラス記号,正号(plus sign)・正数(plus quantity) / 《話》剰余(じょうよ),利益;付加的な要素
pock	 あばた 
poem	 (一編の)『詩』 / 詩的な美しさ(趣き)を持つもの
poet	 『詩人』,歌人 / 詩的才能のある人
poke	 (とがったもので)…‘を'『突く』,つつく《+『名』+『名』+『with』+『名』》 / (…に)…‘を'突っ込む《+『名』+『into』+『名』》;(…から)…‘を'突き出す《+『名』+『out of』+『名』》 / (…に)〈穴〉‘を'つついて作る《+『名』+『in(through)』+『名』》 / 《話》…‘を'こぶしでなぐる(打つ) / (…を)『突く』,つつく《+『at』+『名』》 / (…から)突き出る《+『out of』+『名』》 / (指ひじ・棒などで)突くこと / 《話》(こぶしで)打つこと
pole	 (木製・金属性などの)『棒』,さお / 柱 / (牛車・馬車の)ながえ / ボール(長さの単位,5.03メートル;面積の単位,25.3平方メートル) / …‘を'棒で動かす(押す,突く,たたく) 
poly	 =polytechnic 
pond	 『池』 
pone	 =corn pone 
pony	 小型の品種の馬;(一般に)小さい馬 / 《米俗》(外国語や古典の対訳の)虎の巻
pore	 《pore over+名》(…を)熟読する,注意深く考える・没頭する, 熟考［熟視，熟読］する 
pork	 豚肉 
porn	 =pornography 
port	 〈C〉〈U〉『港』 / 〈C〉『港町』,『港市』
pose	 (絵や写真のモデルとして)『姿勢をとる』《+『for』+『名』》 / (特に他人に印象づけようとして)気どる;(…の)ふりをする《+『as』+『名』》 / 〈モデルなど〉‘に'姿勢をとらせる;〈被写特など〉‘を'適当な位置に配する / 〈『難問など』〉‘が'生じる / 〈要求・質問など〉‘を'述べる,提出する / (絵や写真のためにとる)『ポーズ』,『姿勢』 / (人に見せるための)ポーズ,見せかけ,気どり 
posh	 すばらしい,りっぱな / 高級な,豪華な
post	 〈C〉(木・金属・石などの)『柱』,『支柱』,くい / 《the ~》(競馬の)出発標,決勝標 / 〈C〉《話》(ラグビーなどの)ゴールポスト(goalpost) / (柱・壁などに)〈掲示物〉‘を'『張る』,張り出す《+『名』〈掲示物〉+『on』+『名』》;(掲示物を)〈柱・壁など〉‘に'張る《+『名』+『with』+『名』〈掲示物〉》 / (掲示して)…‘を'公表する,公示する / 《通例受動態で》(…として)…‘を'掲示(発表)する《+『名』+『as』+『現分』(過分)》
posy	 花(flower) / 花束(bouquet)
pour	 《副詞[句]を伴って》〈液体〉‘を'『注ぐ』,『つぐ』,流す / (…に)…‘を'『注ぎかける』,溶びせる,〈努力など〉‘を'注ぐ《+『out』(forth』)+『名,』+『名』+out』(『forth』)》 / 《副詞[句]を伴って》〈水・煙などが〉『流れる』;《比喩(ひゆ)的に》〈人・物が〉『流れ出る』 / 〈雨が〉『激しく降る』《+『down』》 / 《話》(レセプションなどで)〈婦人が〉お茶(コーヒーなど)をつぐ,接待役をする / どしゃ降り
pout	 (不快・不きげんを表して)口をとがらせる,ふくれっつらをする / (くちびるなど)‘を'とがらせる《+『out』+『名』》 / 口をとがらせること 
pram	 =perambulator 
prat	 まぬけ,ばか 
pray	 (神に…を)『祈る』《『to』+『名』〈神〉+『for』+『名』》 / 《話》(物事を)心から望む《+『for』+『名』》 / 〈神〉‘に'『祈願する』,祈る / 《『pray』+『that』『節』》…であることを心から望む / 《文》…‘を'懇願する,請う / 《改まった命令文で》どうか(please);《疑問文で》ねえ,もし
prey	 〈U〉(肉食獣・鳥の)『えじき』 / 〈C〉《単数形で》《比喩(ひゆ)的に》(…の)えじき(儀牲)となる人(物)《+『of』(『to』,『for』 )+『名』》 / 〈U〉(動物・鳥が)肉食をかること;肉食の習性 / 〈獣などが〉獲物をあさる;(…を)えじきにする《+『on』(『upon』)+『名』》 / 〈人が〉(…を)えじきにする《+『on』(『upon』)+『名』》 / 〈物事が〉(心を)苦しめる,さいなむ《+『on』(『upon』)+『名』》
prig	 気取り屋,口やかまし屋 
prim	 きちんとした / (女性が)取り澄ました
prod	 突き刺す(つつく)こと / 刺し針,突き棒 / (一般に)刺激 / (先のとがったもので)…‘を'突き刺す,つつく《+『名』+『with』+『名』》 / …‘を'刺激する,呼び起こす;〈人〉‘を'励まして(…を)促す《+『名〈人〉+『to』(『into』)+『名』(do『ing』)》 / (…を)突く,つつく《+『at』+『名』》
prom	 《米話》(特に高校・大学などで公式に行う)ダンスパーティー / 《英話》=promenade concert / 《英話》=promenade2 
prow	 《おもに文》船首,へさき(bow);機首 
puce	 暗褐色 / 暗褐色の
puck	 (アイスホッケーの)パック 
puke	 …‘を'吐く,もどす / 嘔吐(おうと)した物 / 吐くこと,嘔吐 
pule	 〈赤ん坊が〉弱々しく泣く 
puma	 =cougar 
punk	 (点火用の)つけ木 
punt	 パント舟(長いさおで川底を突いて進む,両端が四角い平底の浅瀬用の小舟) / 〈舟〉‘を'長ざおで進める;〈人・物〉‘を'パント舟で運ぶ / パント舟で進む 
puny	 ちっぽけな,か弱い / 大したことのない
pure	 (金など)『混じりけのない』,純粋の / (水など)『汚れていない』,きれいな / (道徳的に)汚れていない,清らかな / (血統が)純粋の,純血の,きっすいの / 《名詞の前にのみ用いて》《話》全くの / 《名詞の前にのみ用いて》(応用的に対して)理論的な,純粋の
purl	 〈小川などが〉さらさらと流れる / さらさらと流れる音
push	 《副詞[句]を伴って》(動かすために)…‘を'『押す』,押して動かす / 〈提案・要求など〉‘を'押し進める,推進する / 〈人〉‘に'押しつける / …‘を'拡張する,伸ばす / 〈商品など〉‘を'押しつける / 《話》《進行形で》〈ある年齢〉‘に'近付く / (動かすために)(…を)『押す』,突く,押し動かす / 《方向を表す副詞[句]を伴って》押し進む / 〈C〉ひと押し / 〈C〉奮闘,努力
pyre	 (死体を焼くのに使う)積みまき・火葬用の薪の山 
quad	 =quadrangle2 
quay	 はとば,埠頭(ふとう) 
quid	 1ポンド[の金額] 
quin	 =quintuplet・五つ子の一人 / 《複数形で》五つ子 / (特に同種の)5個(5人)一組 
quip	 (特に当意即妙な)警句,気のきいた言葉 / しんらつな言葉 / 気のきいたこと(皮肉)を言う 
quit	 …‘を'『やめる』,『中止する』 / 〈職・地位など〉‘を'『断念する』,『此てる』,放棄する / 《英では古》〈人・土地など〉‘から'去る / やめる,中止する / 辞職(退職)する / (敗北を認めなどして)断念する / 去る;立ちのく / (…を)免れた,(…から)自由な《+『of』+『名』》
quiz	 『小テスト』 / 『クイズ』 / (…について)《人》‘に'質問する,試験する《+『名』《人》+『about』(『no』)+『名』》 
quod	 監獄 
race	 競走,レース;競技会,(特に)競馬 / (一般に)競争;(…を得るための)競争《+『for』+『名』》 / 水の速い流れ,急流,早瀬;(水車などの)水路 / 《おもに文》(事件・話などの)進行;(太陽・月の)運行;)時の)経過;人生の行路 / (…と)『競走する』《+『with』(『against』)+『名』》,(…のために)『競争する』《+『for』+『名』》 / 《方向などの副詞[句]を伴って》疾走する,急ぐ / 〈機械などが〉高速で作動する,〈エンジンなどが〉空転する / …と『競走する』 / (…と)…‘を'『競走させる』,全速力で走らせる《+『名』+『against』+『名』》 / 〈機械など〉‘を'高速で作動させる,〈エンジンなど〉‘を'空転させる
rack	 《しばしば複合語を作って》(枠・網・棒などで作られた)…『掛け』,…『のせ』,…『棚』(たな)陳列棚;網棚 / 歯ざお(歯車を受ける直線のかみ合せ歯) / (昔の)拷問(ごうもん)台;《『the~』》拷問;(肉体・精神の)苦痛 / (肉体的・精神的に)(…で)〈人〉‘を'苦しめる,悩ませる《+『名』+『with』+『名』》・「rack one's brains」で「知恵を絞る」
racy	 独特の風味の / (話し方・文体などが)生きのいい,きびきびした / ちょっときわどい 
raft	 いかだ / =life raft / 〈海・川など〉‘を'いかだで渡る;…‘を'いかだで運ぶ / 〈材木〉‘を'いかだに組んで運ぶ / いかだで行く 
rage	 〈U〉〈C〉『激怒』,憤激 / 〈U〉〈C〉《おもに文》(風・波などの)『猛威』,激しさ《+『of』+『名』》 / 〈U〉〈C〉(感情・欲望などの)激しさ,強烈さ《+『of』+『名』》 / 〈C〉(…に対する)熱望,熱情《+『for』+『名』(do『ing』)》 / 〈C〉《話》(一時的に)『大流行しているもの』 / (…に)『激怒する』,憤激する《+『against』(『about,at,over』)+『名』(do『ing』)》 / 〈風・波などが〉『荒れ狂う』,猛威をふるう 
raid	 (…への)『襲撃』,奇襲;(警察の)手入れ《+『on(upon)』+『名』》 / …‘を'急襲する;〈警察が〉…‘を'手入れする / 急襲する 
rail	 〈C〉(かきね・柵(さく)などの)『横棒』,横木;手すり,らんかん,《複数形で》柵,かき / 〈C〉(鉄道の)『レール』 / 〈U〉(輸送機関としての)『鉄道』 / 〈C〉(物を掛けたりするための)横木,横棒 / …‘を'横木(手すり)で囲む,‘に'柵を付ける《+『in(off)』+『名』》 
rain	 〈U〉〈C〉『雨』,雨降り,降雨 / 《the rains》(熱帯地方などの)雨期,雨季 / 〈C〉《比喩(ひゆ)的に》《a ~》(…の)雨《+『of』+『名』〈複数〉》 / 《通例itを主語にして》『雨が降る』 / 雨のように降る / (…に)…‘を'雨のように降らす《+『名』+『on』(『upon』)+『名』》
rake	 熊手（くまで）,草かき;くまでの形の道具(賭博(とばく)場で金を集めるのに使うものなど) / …‘を'くまででかき集める;〈場所〉‘を'くまででかきならす《+『together(up)』+『名,』+『名』+『together(up)』》 / (…を求めて)〈場所〉‘を'くまなく捜す《+『名』+『for』+『名』》 / …‘を'機銃掃射する / くまでで集める(かきならす) / (…を求めて)かきわけて捜す《+『for』+『名』》・「rake it in」で《口語》 金をうんともうける[稼ぐ]
ramp	 詐欺,かたり 
rand	 ラント(南アフリカ共和国の通貨の単位) 
rang	 ringの過去 
rani	 =ranee 
rank	 〈C〉〈U〉『階級』,等級;(相対的な)『順位』,地位: / 〈U〉高い地位(身分) / 〈C〉〈U〉(人・物の)『列』,並び;(兵隊)の横列 / 《the ranks》(また『rank and file』)(将校たちに対して)兵卒,下士官 / …‘を'『並べる』 / …‘を'『位置づける』,評価する / 《米》…‘より'上位にある / 『位置する』・「pull one's rank on 誰々」で「(誰々に)地位を悪用する; (意見が衝突したような場合に)階級をかさに着て(誰々に)命令を押しつける」
rant	 大げさに言う / …‘を'大げさに言う《『out』+『名,』+『名』+『out』》 / 大げさな話 
rape	 〈婦女〉‘を'暴行する,強姦(ごうかん)する / 婦女暴行,強姦
rapt	 うっとりとした,没頭したした;(…に)心奪われた《+『in』+『名』》 
rash	 (人・行動などが)『向こう見ずな』,無分別な(reckless);性急な 
rasp	 (木材用の)粗(あら)やすり / ガリガリ(ギリギリ)いう音,きしむ音 / …‘を'粗やすりでこする,研摩する《+『off)away)』+『名』,+『名』+『off(away)』》 / 〈神経・感情など〉‘を'いらだたせる,さかなでする / …‘を'きしるような声で言う《+『out』+『名』,+『名』+『out』》 / 耳ざわりな音を出す,きしる
rate	 〈C〉『割合』,『率』 / 〈C〉《the~,a~》『速度』(speed),進度 / 〈C〉『値段』,『相場』;料金 / 〈U〉等級(class),(…)等 / 《複数形》《英》地方税 / (…の金額に)…‘の'『値段を決める』,見積もる《+『名』+『at』+『名』》 / …‘を'『評価する』,みなす / 《米話》…‘に'値する,‘の'価値がある / 『評価される』;みなされる 
rats	 ばかな,信じられない 
rave	 (…について)とりとめのないことを言う《+『about』+『名』(do『ing』)》;(…にむかって)わめき散らす《+『against(at)』+『名』》 / 《話》(…について)熱っぽく語る,ほめちぎる《+『about』+『名』(do『ing』)》 / とりとめのないことを言うこと;わめくこと / 《話》べたぼめ / べたぼめの 
raze	 〈町・家など〉‘を'跡形もなく破壊する 
read	 〈書かれた物・印刷された物〉‘を'『読む』 / 〈書かれた物・印刷された物〉‘を'『読み上げる』,読んで聞かせる / 〈外国語・文学・記号など〉を判読する,解読する / 〈事〉‘を'『読んで知る』 / 〈隠れた意味など〉‘を'『読み取る』,見抜く / 〈計器・時計が〉…‘を'示す,表示する(show) / 《文》(…を)…‘と'訂正して読む,読み替える《+『名』+『for』+『名』》 / 《英》(大学で)…‘を'学ぶ,専攻する / 『本を読む』,読書する / 『音読する』;(人に)読み上げる《+『to』+『名』》 / (…のことを)読んで知る《+『about』(『of』)+『名』》 / 《副詞[句]を伴って》〈本などが〉(…と)読める,読んでみると(…)である,〈物事が〉(…と)解釈される
real	 (想像でなく)『現実の』,実際の,真実の / (まがいものでなく)『本物の』 / 不動産の / ほんとうに,とても(very)
ream	 (一定の規格に裁断した紙の)連(れん)(1連は20帖(quire);《英》480枚,《米》500枚;新聞では 500枚,印刷用紙では516枚) / 《複数形で》《話》(おもに書き物の)多量,たくさん《+『of』+『名』》
reap	 〈穀類〉‘を'『刈る』 / 〈作物〉‘を'『刈り入れる』,収穫する / 〈畑〉‘から'作物を刈る(収穫する) / …‘で'『報いられる』;〈利益・報酬〉‘を'特る / 刈り取る,収穫する;《比喩(ひゆ)的に》利益を受ける 
reck	 …‘を'気にかける,こだわる / (…を)気にかける《+『of』+『名』》
redo	 …‘を'再びする,やり直す 
reft	 (…を)奪われて,失って《+『of』+『名』》 
rein	 《しばしば複数形で》『手綱』 / (…に対する)制御手段;統御力;制御,統率《+『on』(『over』)+『名』》 / 〈人が〉〈馬など〉‘を'手綱で操る,御する / 〈人が〉〈感情など〉‘を'抑制する
rely	 『あてにする』,たよる 
rend	 …‘を'引き裂く,引きちぎる / (…から)…‘を'もぎ取る《+『名』+『off from』+『名』》 / …‘を'引き裂くように割る(分議させる) 
rent	 (…の)ほころび;裂け目;嶺れ目,割れ目《+『in』+『名』》 / (…の)分裂,不和《+『in』+『名』》
rest	 〈U〉〈C〉『休息』,休憩,休養;休息の時間(期間);(…から)解放されて休むこと《+『from』+『名』》 / 〈U〉〈C〉睡眠(sleep) / 動かないこと,停止,静止 / 〈C〉《複合語に用いて》「(物を載せる)台,支え」の意を表す / 〈U〉《詩》死,永眠 / 〈C〉(音楽で)休止;休止符 / 『休む』,『休息する』;(仕事などを)やめて休む《+『from』+『名』》 / 『安心する』,落ち着く,くつろぐ / (…に)『載っている』,『支えられている』《+『on』(『upon』)+『名』》;(…に)もたれている(lean)《+『against』+『名』》 / 〈光・視線などが〉(…に)注がれる,じっと留まる《+『on』(『upon』)+『名』》 / (変化しないで)そのままでいる,休止(静止)する / 永眠する / (訴訟事件で)証拠提出を自発的に中止する / 《しばしば受動態で》…‘を'『休息(休養)させる』,休ませる / (…に)…‘を'置く,載せる,基づかせる《+『名』+『on』(『upon』)+『名』(do『ing』)》;(…に)…‘を'よりかからせる》+『名』+『against』+『名』》 / 〈訴訟事件〉‘の'証拠提出を自発的に中止する
rhea	 アメリカダチョウ(南米産) 
rial	 リアル(イランの通貨の単位) 
rice	 『米』(欧米ではプディングやケーキの原料にも用いる) / イネ(稲) / 〈ゆでたジャガイモ・カボチャなど〉‘を'ライサー(ricer)で米粒ほどの太さのそうめん状にする 
rich	 『金持ちの』,『富んだ』,豊かな / 《名詞的に》《the~;複数扱い》金持ちの人たち / (衣服・宝石・家具などが)高価でみごとな,ぜいたくな / (想像力などが)豊かな;(土地が)肥えた / (音・声が)豊かな,深みのある;(色が)濃い,あざやかな;(料理・酒の問が)濃くておいしい;(香りが)強い / 濃度が高い;(特に食物の)栄養価が高い,(油・卵・バターなどを多く含んで)濃厚な / 《話》非常におもしろい,こっけいな;《反晴的に》とんでもない,ばかげた 
rick	 (通例雨を防ぐ屋根のついた,干し草・ワラ・穀物などの)積み山,《+『of』+『名』》 / 〈干し草・わらなど〉‘を'山に積む　積みわら
ride	 (馬・自転車・電車などに)『乗って行く』,『乗っている』《+『on』(『in』)+『名』》;乗馬をする,馬に乗る / (人の肩・背などに)馬乗りになる,またがる《+『on』+『名』》 / 《副詞[句]を伴って》(波間・空間などに)浮かぶ;(波・風に)乗って進む / (…に)支えられて(載せられて)動く《+『on』(『upon』)+『名』》 / 《状態を表す副詞[句]を伴って》〈馬・車などが〉乗りごこちが…である;〈地面・走路などが〉走りごこちが…である / (正常な位置から)〈衣服などが〉ずり上がる,持ち上がる《+『up』》 / 《話》(中断されずに)そのまま進行する / 〈馬・自転車・電車など〉‘に'『乗って行く』 / 〈風・波など〉‘に'乗って進む(運ばれる) / 《副詞[句]を伴って》(乗物などに)〈人・物〉‘を'乗せて行く,乗せて運ぶ / 〈道路・地域など〉‘を'馬で進む,乗物で通る / 《おもに米話》(…のことで)〈人〉‘を'からかう,あざける《+『名』+『about』+『名』》 / (馬・乗物などに)乗ること;(馬・乗物などを利用した)小旅行 / 遊園地の乗物(大回転観覧車・回転木馬・ジェットコースターなど) / (特に,森の中の)乗馬道 / (馬・乗物などの)乗りごこち / 〈人〉を自動車で連れ出して殺す 
rife	 (うわさ・犯罪・悪疫などが)広まって《widespread) / (望ましくないもので)満ちた《+『with』+『名』》
rift	 (…の)切れ目,割れ目《+『in』+『名』》・分裂・ / (…間の)仲たがい《+『between』+『名』》 / …‘を'割れる,裂ける 
rile	 …‘を'怒らせる,いらいらさせる / = roil
rime	 霜,白霜(hoarfrost) / …‘を'霜でおおう
rind	 (果物・チーズなどの)皮,外皮 
ring	 『指輪』 / 『輪』,環;輪形,円形 / (円形の)サーカス演技場,公演場,競技場;(ボクシング・レスリングの)リング / 《複数形で》(体操の)つり輪 / (不法な目的で結託した)(…の)徒党,一味《+『of』+『名』》 / (原子の)環 / …を円形に取り囲む,円で囲む《+『about』(『around』,《英》『round』)+『名,』+『名』+『about』(『around』,《英》『round』)+『名』》 / 〈動物〉‘に'鼻輪(首輪,足輪)をはめる / (遊びで)…‘に'輪を投げる / 環状に動く,輪を描く
rink	 スケートリンク,(屋内)スケート場,ローラースケート場 
riot	 〈C〉『暴動』,騒動;騒擾(そうじょう) / 《a~》(色・音などの)『多彩』,はなやかさ;(感情・想像などの)ほとばしり,奔放《+『of』+『名』》 / 〈C〉《話》非常に愉快な(おもしろい)人(事,物) / 暴動(騒動)に加わる,暴動を起こす / (…に)ふける,おぼれる《+『in』+『名』(do『ing』)》 
